"","Gene","BF","BF_filtered","post_prob","chr","pos"
"57","CNTN4",5.5692,5.5692,0.286005839980875,3,2571418
"58","C4orf3",5.3316,5.5634,0.285793107346911,4,119300452
"59","CHST1",4.4893,5.5123,0.283913366704603,11,45649692
"60","DDB1",5.5392,5.3636,0.278386633093583,11,61294922
"61","CAPRIN1",5.3516,5.3516,0.277936906685733,11,34052464
"62","OR2B6",5.3485,5.3508,0.277906904993355,6,27957281
"63","CELF3",5.3499,5.3499,0.27787315010921,1,151705093
"64","RENBP",5.3433,5.3433,0.277625517831736,NA,153940113
"65","NAGS",4.0754,5.2355,0.273556680586205,17,44004845
"66","EPHA4",4.9245,5.1369,0.269794747827502,2,221426033
"67","TP63",5.3231,5.0739,0.26737061024023,3,189631535
"68","JTB",5.0054,5.0054,0.264716511052811,1,153972741
"69","ZNF587",3.4527,4.956,0.262790494051275,19,57850060
"70","ZNF282",4.8955,4.8955,0.260417918181483,7,149195632
"71","KCNH7",4.569,4.8849,0.260000654093108,2,162371339
"72","PTCH1",4.8834,4.8834,0.259941569257371,9,95446931
"73","LMCD1",4.8626,4.8626,0.259121285919573,3,8501951
"74","CKAP5",4.8497,4.8497,0.258611638277787,11,46744071
"75","CDC37",4.7488,4.786,0.256084691356883,19,10391574
"76","STRN",4.7204,4.7332,0.253977048434762,2,36849500
"77","TAOK1",4.5881,4.6829,0.251958061316169,17,29451567
"78","CARD10",4.5593,4.6768,0.251712470729437,22,37491181
"79","EPB41L1",4.5846,4.5846,0.247980692329498,20,36152949
"80","PCNX1",4.0869,4.5091,0.244897010516588,14,70946918
"81","KCNV1",4.5039,4.5039,0.244683693342745,8,109968111
"82","ADGRB1",4.6246,4.4936,0.244260805247767,8,142464266
"83","PTPRK",3.8334,4.4736,0.243438309396929,6,127973053
"84","ABLIM1",4.4581,4.4581,0.242799642683247,10,114436311
"85","LPA",4.3102,4.444,0.242217724680942,6,160531748
"86","INO80",4.3819,4.3819,0.239644128674839,15,40980240
"87","FAM45A",3.5043,4.3744,0.239332124309814,10,119104196
"88","SLC5A6",4.1381,4.3461,0.238152518305266,2,27200458
"89","DNER",4.438,4.3409,0.237935372916926,2,229358574
"90","OR2A4",4.3409,4.3409,0.237935372916926,6,131700485
"91","ZNF441",4.3787,4.2896,0.235786497178873,19,11777675
"92","QARS",4.0415,4.2831,0.2355133571239,3,49098008
"93","UNC80",3.5698,4.2656,0.234777008655805,2,209773094
"94","ACHE",4.1876,4.1876,0.231477672782915,7,100885693
"95","BNC2",3.933,4.1613,0.230358781260219,9,16418997
"96","MRTFA",4.1743,4.1293,0.228992990877679,22,40411455
"97","TRIM3",4.176,4.1204,0.228612268426989,11,6449143
"98","TULP1",4.3429,4.1088,0.228115481138978,6,35498341
"99","CBX7",4.3667,4.084,0.227051234845515,22,39133934
"100","RILPL1",3.7392,4.0818,0.226956684168045,12,123472551
"101","BMS1",3.7101,4.0817,0.226952385860357,10,42784362
"102","PELP1",3.8457,4.0616,0.226087454556592,17,4671456
"103","NCAPG",4.259,4.0562,0.225854755016845,4,17811148
"104","GALNT2",4.1207,4.0562,0.225854755016845,1,230067371
"105","ZNF605",4.0562,4.0562,0.225854755016845,12,132925431
"106","HSP90AA1",4.0562,4.0562,0.225854755016845,14,102082146
"107","SEMA4A",4.0444,4.0562,0.225854755016845,1,156154598
"108","GPRASP1",3.9674,4.0562,0.225854755016845,NA,102653924
"109","NUP214",3.6384,4.0562,0.225854755016845,9,131121114
"110","WDR70",4.4256,4.0425,0.225263759322693,5,37379383
"111","SYNGAP1",3.0838,4.0317,0.224797228468527,6,33423485
"112","NIPBL",3.4831,4.0244,0.224481569794946,5,36953710
"113","ABCB1",4.0147,4.0147,0.224061734975836,7,87504250
"114","ECE1",4.1333,3.9925,0.223099163118155,1,21219966
"115","DPF3",3.8549,3.982,0.222643060258204,14,72619301
"116","OR3A2",0.8335,3.9534,0.221398002629236,17,3277990
"117","CCR10",3.9481,3.9481,0.221166837008419,17,42673928
"118","MED12L",3.6109,3.9475,0.221140658665875,3,151086942
"119","PLXNB1",3.9069,3.9069,0.219365159698902,3,48404556
"120","HDAC5",2.665,3.8979,0.218970479520396,17,44071829
"121","RANBP2",2.5285,3.89,0.218623708978582,2,108719606
"122","DNM1",3.8748,3.8748,0.217955637957236,9,128203516
"123","KCNMB3",3.7208,3.8557,0.217114532568912,3,179242957
"124","PITPNM2",1.4998,3.8525,0.216973437403934,12,122986047
"125","EMX1",4.0427,3.8365,0.216267198026697,2,72916687
"126","CDC25B",3.8836,3.8365,0.216267198026697,20,3796552
"127","SOCS6",3.8276,3.8276,0.215873800683643,18,70324786
"128","ORM2",3.5646,3.8245,0.215736681888582,9,114329909
"129","RAB30",3.8185,3.8161,0.215364893046766,11,82982172
"130","TNR",3.628,3.8032,0.214793244767555,1,175323361
"131","ATG9A",3.7712,3.7712,0.213371600119371,2,219220760
"132","VDAC1",3.7437,3.7437,0.212145754943954,5,133972788
"133","IQGAP1",3.834,3.7223,0.21118917793153,15,90388378
"134","CERS6",3.7029,3.7029,0.210319991053736,2,168456459
"135","DIP2B",3.3866,3.6862,0.209570237856405,12,50505162
"136","GNMT",3.874,3.6822,0.209390444863598,6,42960816
"137","GRIP1",3.5112,3.6781,0.20920607214114,12,66349037
"138","RAD21",4.2315,3.6591,0.208350538138763,8,116847544
"139","DCAF5",3.467,3.6344,0.207235572571197,14,69053912
"140","DENND1A",3.8487,3.6261,0.206860202696062,9,123375209
"141","FUT7",3.6079,3.6193,0.206552405733701,9,137028726
"142","MBNL1",3.6027,3.6027,0.205800014654688,3,152300281
"143","KBTBD6",3.5809,3.5948,0.2054414476695,13,41130521
"144","FUT8",3.4781,3.5666,0.204158854772222,14,65411993
"145","WDR13",3.524,3.5541,0.203589004085104,NA,48597969
"146","CA8",3.7205,3.515,0.201801230624172,8,60208789
"147","HERC3",3.5832,3.5097,0.201558280250168,4,88605797
"148","TRPC4AP",3.5394,3.4932,0.200800977495193,20,34997647
"149","CDR2L",3.4064,3.4609,0.199314333614914,17,74999504
"150","MGA",3.4553,3.4553,0.199056024550079,15,41668915
"151","KIAA1257",3.4644,3.4488,0.198755992453173,3,128932735
"152","KLF6",3.3935,3.4394,0.198321702080326,10,3776410
"153","FBLN2",3.4364,3.4364,0.198182999650601,3,13570425
"154","SCN10A",3.3462,3.4312,0.197942468376288,3,38697354
"155","RAPGEF5",2.2737,3.4289,0.197836033506326,7,22122414
"156","TMEM123",3.4133,3.4133,0.197113381197218,11,102401546
"157","DDR2",3.4113,3.4113,0.197020639289492,1,162719036
"158","SCAF11",3.3478,3.4001,0.196500888409563,12,45922077
"159","DSCAM",3.3989,3.3989,0.19644516090516,21,40013107
"160","CA11",3.4014,3.3744,0.19530569861232,19,48633435
"161","ZNF667",3.3516,3.3516,0.19424239420616,19,56441166
"162","TTC13",3.0093,3.3491,0.194125632833601,1,230906915
"163","MAPKAPK2",3.5116,3.3345,0.193443069975795,1,206682906
"164","SCARA5",3.3235,3.3235,0.192928046061843,8,27871939
"165","RHOV",3.3512,3.3151,0.19253431194701,15,40873165
"166","USP11",3.3224,3.3126,0.192417054981414,NA,47228797
"167","CCAR1",3.4416,3.3087,0.192234066098285,10,68722461
"168","LONRF2",3.2912,3.2912,0.191411940192531,2,100284333
"169","SMARCD2",3.2465,3.291,0.191402534795737,17,63833085
"170","STAT5B",3.229,3.2821,0.19098377301112,17,42201769
"171","GRHL1",3.2407,3.2789,0.190833100943965,2,10000660
"172","MEF2C",3.18,3.2768,0.190734191895912,5,88722623
"173","KIAA1109",4.762,3.2612,0.189998681284165,4,122170666
"174","CLCNKB",3.6445,3.2497,0.189455621313805,1,16044504
"175","OVOL2",3.3113,3.2438,0.189176725212296,20,18024673
"176","MKNK2",3.2849,3.2138,0.187755635172742,19,2037757
"177","NSD1",2.6962,3.2099,0.187570527504125,5,177135149
"178","SLC4A8",3.2204,3.2001,0.18710501256981,12,51424995
"179","CSNK1E",3.1848,3.1848,0.186377171716227,22,38293300
"180","SMARCA2",3.0811,3.1807,0.186181907910459,9,2029119
"181","BTG4",3.2466,3.1805,0.186172380449277,11,111495179
"182","UNC13A",2.7546,3.1627,0.185323542044174,19,17606118
"183","DOCK4",3.1585,3.1585,0.185122996071007,7,111728314
"184","MRPS25",3.1577,3.1577,0.185084785643013,3,15049878
"185","KDM2B",1.8806,3.1443,0.184444227852662,12,121430026
"186","HBQ1",3.2084,3.143,0.184382030595859,16,180488
"187","EHD4",3.1174,3.139,0.184190594904239,15,41892821
"188","SF3A1",3.0768,3.1375,0.184118783349604,22,30335659
"189","PLEKHH3",2.7313,3.1343,0.183965543104696,17,42668180
"190","MYORG",3.2185,3.1137,0.182977679316278,9,34370807
"191","UBR3",3.1133,3.1133,0.182958473822831,2,169872270
"192","MFAP4",3.088,3.088,0.181741888991258,17,19384491
"193","PTPRJ",3.2747,3.0814,0.181423922957364,11,48112755
"194","FUT1",3.203,3.0711,0.180927209188091,19,48750218
"195","PRDM12",3.0977,3.0685,0.180801729826408,9,130664697
"196","ZNF317",3.1096,3.0668,0.180719664839256,19,9140594
"197","POU2F2",3.3527,3.049,0.179859407735238,19,42091260
"198","SH2D3C",3.1041,3.0449,0.179661002581584,9,127733335
"199","PPM1N",3.3078,3.0379,0.179322040127818,19,45498624
"200","VASH2",3.0715,3.0299,0.178934311303628,1,212951620
"201","LARP4",3.2662,3.0174,0.178327751029416,12,50401022
"202","TCF7L2",2.4596,3.0128,0.178104311205424,10,112950847
"203","BBS5",2.9121,2.9917,0.177077843381515,2,169479552
"204","TMEM178A",3.2788,2.9831,0.176658736766801,2,39666183
"205","WDTC1",2.9721,2.9721,0.176122047543631,1,27261088
"206","PAPOLA",2.9711,2.9711,0.176073222917607,14,96502388
"207","GRIA1",1.9757,2.9608,0.175569992296011,5,153490907
"208","ABHD2",2.9467,2.9458,0.174836031720049,15,89116346
"209","PLXNA1",1.6146,2.9451,0.174801748309297,3,126988598
"210","NCKAP1L",2.9411,2.9411,0.174605788442094,12,54497845
"211","ADAMTS6",2.9409,2.9409,0.174595988005638,5,65170679
"212","LDHC",2.9055,2.9055,0.17285763677651,11,18412754
"213","AKAP1",2.9052,2.9052,0.172842873696893,17,57105441
"214","CHID1",2.9034,2.9034,0.17275428415118,11,869871
"215","ADIPOQ",2.8994,2.8994,0.172557350538748,3,186853084
"216","UBXN4",2.8981,2.8981,0.172493326924629,2,135741934
"217","RLIM",2.9917,2.8877,0.171980781113869,NA,74591737
"218","ARHGAP21",2.5576,2.8866,0.171926532405917,10,24584440
"219","GABRG2",2.7849,2.8822,0.171709466472044,5,162067998
"220","TRAPPC6B",2.8726,2.8818,0.17168972756219,14,39151755
"221","DCAF15",3.0679,2.8793,0.171566338057608,19,13954344
"222","PHYHIP",3.0076,2.8678,0.170998272523552,8,22221469
"223","ATP8A2",2.9238,2.8643,0.170825228347702,13,25372237
"224","KCNQ3",2.8624,2.8624,0.170731259824288,8,132129267
"225","PHC1",1.8769,2.8616,0.170691687758069,12,8917706
"226","SMG1",1.8297,2.8496,0.1700976532365,16,18809622
"227","SPDYE3",2.8585,2.849,0.170067929170471,7,100307932
"228","LRP8",2.8479,2.8479,0.170013429519011,1,53238353
"229","MFAP2",2.9435,2.8443,0.169835016967659,1,16974930
"230","ZNF777",2.7094,2.8394,0.169592054374781,7,149432094
"231","DRP2",2.9105,2.8209,0.168673463143545,NA,101231648
"232","ZNF304",2.816,2.816,0.168429820076345,19,57351684
"233","DBP",3.1504,2.7989,0.167578435521981,19,48627973
"234","PAPSS1",2.7772,2.7988,0.167573451537606,4,107614250
"235","NDFIP2",2.2346,2.7956,0.167413932519707,13,79481152
"236","STK11",2.7265,2.7897,0.167119658996344,19,1206967
"237","CENPE",2.6486,2.789,0.16708473138371,4,103106248
"238","AC005324.3",2.7801,2.7801,0.166640396201435,17,15574100
"239","TBC1D9",2.8568,2.7787,0.166570457623395,4,140622220
"240","HMBS",2.7699,2.7699,0.16613057476325,11,119081085
"241","HSD17B1",2.6682,2.7613,0.165700240380103,17,42552961
"242","WDR48",2.7578,2.7578,0.165524977101358,3,39063057
"243","NNT",2.4238,2.7572,0.165494924573944,5,43609226
"244","ATAD2B",2.5423,2.7518,0.165224354388417,2,23752064
"245","HIST1H4A",2.6961,2.7412,0.164692724576601,6,26021683
"246","CDC26",2.9905,2.7397,0.164617439247186,9,113267294
"247","DDHD1",2.7295,2.7295,0.164105138889679,14,53046778
"248","PDE2A",3.654,2.7227,0.163763256098099,11,72577393
"249","HAPLN2",2.6388,2.7136,0.163305298694537,1,156623524
"250","GTF3C4",2.7264,2.7116,0.163204581473305,9,132670608
"251","JPH3",3.3809,2.7109,0.163169324717114,16,87603150
"252","TUBG2",2.9528,2.7078,0.163013151935282,17,42659906
"253","HIRA",2.7557,2.7026,0.162751053749911,22,19331460
"254","SNX1",2.8353,2.6949,0.162362645184601,15,64093770
"255","ESRP2",1.7351,2.6906,0.162145584843128,16,68230243
"256","KCNH5",1.5549,2.6773,0.161473499502039,14,62707522
"257","OR11H12",2.6741,2.6741,0.161311633806921,14,18601118
"258","C1orf35",0.958,2.6722,0.161215496479416,1,228097073
"259","KCNQ2",2.7177,2.6683,0.161018092897987,20,63406650
"260","SOCS3",2.5724,2.6675,0.160977588370424,17,78358474
"261","PACS1",2.6628,2.6628,0.160739545265313,11,66067942
"262","KBTBD11",2.3771,2.6625,0.160724346438488,8,2001292
"263","BTG3",2.7346,2.6622,0.160709147061157,21,17594134
"264","XKR4",2.6528,2.6528,0.160232620875013,8,55102655
"265","ADCY4",2.6867,2.65,0.160090572289021,14,24315639
"266","GNAO1",2.7374,2.6465,0.159912943963924,16,56275956
"267","FBXL14",1.9415,2.6436,0.159765709282934,12,1566777
"268","MATN4",2.6358,2.6358,0.159369442559306,20,45293788
"269","PPP6R1",2.6356,2.6356,0.159359276959228,19,55230531
"270","GMPS",2.6295,2.6295,0.159049108007472,3,155893581
"271","SOX13",2.5063,2.6273,0.158937187627861,1,204112922
"272","WNT10A",1.7355,2.6213,0.158631798759445,2,218880998
"273","SVIL",2.2356,2.6176,0.158443365051662,10,29458250
"274","FGD3",2.6024,2.6163,0.158377138574833,9,92976273
"275","DIDO1",2.1511,2.6136,0.158239557965777,20,62879361
"276","TRMT12",2.6095,2.6095,0.158030553229161,8,124450938
"277","DDX53",2.6846,2.6089,0.157999958464099,NA,23000070
"278","MBP",2.553,2.6089,0.157999958464099,18,76989980
"279","COX10",2.4146,2.6089,0.157999958464099,17,14069646
"280","ATG13",2.8005,2.6086,0.157984660247758,11,46644304
"281","IGF2R",2.6057,2.6057,0.157836748824842,6,159991193
"282","GBP3",2.6001,2.6001,0.157550979656956,1,89007770
"283","PURB",2.5998,2.5998,0.157535665121213,7,44884420
"284","HGS",3.0022,2.5997,0.157530560152232,17,81682026
"285","TRADD",2.6218,2.5972,0.157402915817642,16,67154680
"286","JADE1",2.6216,2.5938,0.157229257437219,4,128831758
"287","CHD9",2.6818,2.5928,0.157178167819351,16,53156115
"288","COPA",2.7219,2.5879,0.156927739127904,1,160285048
"289","KLHL2",2.594,2.5763,0.156334293940204,4,165207892
"290","NSA2",1.7931,2.5735,0.156190923358592,5,74768958
"291","CABLES2",2.4818,2.5721,0.156119219793186,20,62387142
"292","RB1CC1",2.293,2.57,0.156011641593092,8,52623476
"293","KRTAP10-6",2.5533,2.5667,0.155842534708522,21,44591404
"294","SCN1A",3.03,2.5491,0.154939485596112,2,165991252
"295","NEMF",2.6247,2.5486,0.154913802566667,14,49784677
"296","FGR",2.5473,2.5473,0.154847019383519,1,27612931
"297","PCSK2",2.5348,2.5472,0.154841881778387,20,17227322
"298","EP400",2.6691,2.5468,0.154821330733226,12,131960762
"299","ABCC9",2.6257,2.5459,0.154775087227184,12,21809954
"300","KRT1",2.9106,2.5434,0.154646606488331,12,52675216
"301","ATAD1",2.7565,2.5434,0.154646606488331,10,87754691
"302","SEL1L3",2.6919,2.5434,0.154646606488331,4,25748460
"303","MCF2",2.6142,2.5434,0.154646606488331,NA,139582456
"304","CACHD1",2.5763,2.5434,0.154646606488331,1,64470938
"305","SEC61G",2.5641,2.5434,0.154646606488331,7,54755778
"306","CREB3L2",2.556,2.5434,0.154646606488331,7,137880520
"307","STT3B",2.5484,2.5434,0.154646606488331,3,31533164
"308","GPR89A",2.5434,2.5434,0.154646606488331,1,145607814
"309","CNNM1",2.5434,2.5434,0.154646606488331,10,99329387
"310","VANGL1",2.5121,2.5434,0.154646606488331,1,115651486
"311","STAM",2.5073,2.5434,0.154646606488331,10,17660503
"312","TSPYL6",2.4721,2.5434,0.154646606488331,2,54254926
"313","TMEM132C",2.4255,2.5434,0.154646606488331,12,128414746
"314","SPECC1L",2.0344,2.5434,0.154646606488331,22,24302280
"315","CSTF1",2.5773,2.5426,0.154605484401995,20,56388313
"316","NGEF",1.6842,2.5417,0.154559217272454,2,232879500
"317","FOXJ3",2.7166,2.5407,0.15450780341082,1,42179718
"318","RGS6",2.4567,2.5384,0.154389527794579,14,71964796
"319","GPC2",2.5353,2.5323,0.154075679967779,7,100166496
"320","ELL",2.53,2.53,0.153957283412974,19,18437763
"321","ABCA1",2.3593,2.5293,0.153921243100375,9,104784371
"322","MARK4",2.1427,2.526,0.153751297402944,19,45259010
"323","OGDH",2.5259,2.5259,0.153746146467556,7,44624319
"324","CD79A",1.6933,2.5259,0.153746146467556,19,41877332
"325","PDE4A",1.7796,2.525,0.153699785227167,19,10416884
"326","ANKRD44",2.5229,2.5229,0.153591589242616,2,196993595
"327","SREK1",2.6285,2.517,0.153287461947174,5,66144414
"328","CYLD",2.5814,2.5048,0.152657894830539,16,50749709
"329","TPI1",2.7186,2.5033,0.152580424400695,12,6867476
"330","ASTN1",2.6316,2.5032,0.152575259201694,1,176857620
"331","KAT2B",2.5901,2.4977,0.152291076256574,3,20040688
"332","LTBP3",2.4977,2.4977,0.152291076256574,11,65539087
"333","ABCD3",2.4846,2.4977,0.152291076256574,1,94418486
"334","NCOA3",2.3816,2.4977,0.152291076256574,20,47622268
"335","NAV3",2.3481,2.4977,0.152291076256574,12,77831461
"336","SLIT1",1.7914,2.4977,0.152291076256574,10,97001117
"337","MYH14",1.6716,2.4977,0.152291076256574,19,50210375
"338","PTPN4",1.5441,2.4977,0.152291076256574,2,119809855
"339","TARDBP",2.4802,2.4971,0.152260062949756,1,11013836
"340","ELF3",2.8342,2.4953,0.1521670094124,1,202011149
"341","PPM1H",2.2047,2.4874,0.151758366082031,12,62648556
"342","USP18",2.7858,2.4857,0.151670378665735,22,18157668
"343","TBCA",2.5837,2.4844,0.151603081853415,5,77691437
"344","APBB1",2.4828,2.4828,0.151520240348695,11,6395619
"345","DEAF1",2.2987,2.48,0.151375228780287,11,644561
"346","PDZRN4",2.4786,2.4797,0.151359688886588,12,41188496
"347","CDH7",2.4771,2.4771,0.151224985963914,18,65762881
"348","TNNC2",2.4661,2.4735,0.15103840361367,20,45824009
"349","VPS26B",2.5096,2.4694,0.150825807110988,11,134220568
"350","THRSP",2.4668,2.4668,0.150690934637633,11,78063883
"351","DGKA",2.5559,2.4667,0.150685746379214,12,55927083
"352","CACNG2",2.4653,2.4653,0.150613104105033,22,36564371
"353","ITGB7",2.4577,2.4599,0.150332796036545,12,53186385
"354","LGR4",2.4587,2.4587,0.150270480227976,11,27367877
"355","PACSIN1",2.4579,2.4579,0.150228931277204,6,34526304
"356","HDLBP",2.3364,2.4559,0.150125041121549,2,241229626
"357","CDH20",2.6075,2.4555,0.150104260042041,18,61490555
"358","CUL3",2.4548,2.4548,0.150067890707386,2,224474282
"359","CUL2",2.5037,2.4468,0.149652019996203,10,35010339
"360","ILKAP",2.4794,2.4446,0.149537584194093,2,238168366
"361","MED15",2.4441,2.4441,0.1495115717616,22,20507677
"362","WASHC2A",2.4359,2.4359,0.149084740716069,10,50068111
"363","LY6G6D",2.4336,2.4336,0.148964942865617,6,31712589
"364","RUNX1T1",2.4271,2.4271,0.148626201280992,8,91960279
"365","HIPK3",2.4246,2.4246,0.148495844241681,11,33286458
"366","PITPNM3",2.4208,2.4208,0.14829762507143,17,6455348
"367","ZFPM2",2.4188,2.4188,0.148193262120135,8,105419147
"368","ANO1",1.616,2.4163,0.148062772459073,11,70078628
"369","TNKS2",2.4119,2.4119,0.147833013526363,10,91798871
"370","ZFAND5",2.4108,2.4109,0.147780778302793,9,72356948
"371","TSPYL2",2.3648,2.4109,0.147780778302793,NA,53082628
"372","HIST1H3I",2.4419,2.4091,0.147686738761216,6,27871918
"373","SLC46A3",2.1604,2.4056,0.147503824673054,13,28701507
"374","DLG4",1.2492,2.4051,0.147477687679854,17,7190722
"375","ESX1",2.3577,2.3942,0.146907502661833,NA,104250244
"376","TNRC6B",2.5896,2.3915,0.146766146289135,22,40156113
"377","IQSEC3",2.3856,2.3856,0.14645709335236,12,125689
"378","EHD1",2.0828,2.3852,0.146436132506783,11,64854338
"379","BOC",2.5496,2.3843,0.146388966839952,3,113216224
"380","DGKB",2.383,2.383,0.146320829451483,7,14149146
"381","BAZ2A",3.2115,2.3829,0.146315587663346,12,56598638
"382","MED14",2.3818,2.3818,0.146257923745028,NA,40649668
"383","LTBP1",2.4537,2.3755,0.145927516628848,2,32947383
"384","IPO5",2.3733,2.3733,0.145812076111303,13,97969746
"385","MPPE1",2.3728,2.3728,0.145785835277695,18,11884452
"386","TRIM27",2.3694,2.3694,0.145607354843415,6,28904095
"387","PRAMEF17",0.4528,2.3611,0.145171339175643,1,13389657
"388","TFDP2",2.4406,2.3502,0.144598063877628,3,141952608
"389","SYMPK",2.4519,2.3491,0.144540167690484,19,45815591
"390","PDS5B",2.3488,2.3488,0.144524376461067,13,32648756
"391","CACNA1C",1.5293,2.3484,0.144503320581612,12,2053561
"392","CIAO2A",2.3879,2.3469,0.144424351801481,15,64072969
"393","WDR75",2.3469,2.3469,0.144424351801481,2,189441502
"394","FAXC",2.3467,2.3467,0.144413821529272,6,99281199
"395","TNFSF14",2.3447,2.3447,0.14430850454891,19,6664954
"396","MLLT10",2.5085,2.3316,0.143618036716856,10,21534740
"397","HIST2H3PS2",2.3762,2.3278,0.143417539793438,1,143904220
"398","PAX6",2.3264,2.3264,0.143343648838518,11,31789647
"399","FABP5",2.3258,2.3258,0.143311977383804,8,81280603
"400","TIPRL",2.3234,2.3234,0.143185268142967,1,168179111
"401","IL3RA",2.2306,2.3199,0.143000416630958,NA,1341764
"402","ISL2",2.4369,2.3087,0.142408355430176,15,76336909
"403","HP1BP3",2.2982,2.3016,0.142032607065024,1,20744739
"404","CALR",2.2924,2.3008,0.141990248579837,19,12938687
"405","FLT1",2.2962,2.2962,0.141746606099559,13,28303171
"406","PRKD2",2.2749,2.2958,0.141725413257512,19,46674543
"407","FLNB",2.1793,2.2951,0.141688323265368,3,58008617
"408","VGF",2.2947,2.2947,0.141667127544833,7,101162824
"409","SLC1A5",2.2934,2.2934,0.141598234222757,19,46775514
"410","SORL1",2.4012,2.291,0.141471017491665,11,121452345
"411","ATP8B1",2.3992,2.291,0.141471017491665,18,57642050
"412","CFLAR",2.278,2.2905,0.141444509259704,2,201129980
"413","MAT2A",2.2849,2.2849,0.141147505186327,2,85539287
"414","RNF185",2.2269,2.2842,0.141110365228156,22,31187114
"415","ACSM2B",2.2821,2.2821,0.140998926078312,16,20537265
"416","MADD",2.2817,2.2817,0.140977696294815,11,47273942
"417","RAB11FIP3",1.6813,2.2812,0.140951157589725,16,426430
"418","RNF121",2.2939,2.2792,0.14084498636956,11,71928448
"419","ATP2B3",2.2661,2.2771,0.140733478339893,NA,153541364
"420","DPY19L2",2.4787,2.2761,0.140680369104172,12,63560520
"421","VEGFB",2.2784,2.2725,0.14048912148434,11,64235465
"422","ETV6",2.2602,2.272,0.140462552582058,12,11650138
"423","CAPRIN2",2.4658,2.271,0.140409409849458,12,30709978
"424","TNRC6A",2.452,2.2709,0.140404095214773,16,24730281
"425","ZNF410",2.2681,2.2681,0.140255258757409,14,73892061
"426","LRP12",2.4262,2.2673,0.14021272458809,8,104490738
