"","Transmitted","Untransmitted","Burden_OR","Burden_Pval","MIRAGE-VS_eta","MIRAGE-VS_Pval"
"pLI<0.5&0.00001<AF<=0.0001&SCZ gene",296,312,0.948717948717949,0.754711450975211,0.00196522038209598,1
"pLI<0.5&AF<=0.00001&ID gene",251,202,1.24257425742574,0.0120059727969714,0.256316856761516,0.0127444687243001
"pLI<0.5&AF<=0.00001&High",43,26,1.65384615384615,0.0266446819082569,0.535199765594575,0.0471911134551988
"pLI<0.5&AF<=0.00001&Mod",189,150,1.26,0.0194361296541369,0.283467206963327,0.0158688755248473
"pLI<0.5&AF<=0.00001&PSD",195,205,0.951219512195122,0.708812760232969,0.00212385788945431,1
"pLI<0.5&AF<=0.00001&FMRP",236,189,1.24867724867725,0.0127719975279291,0.255273283289252,0.013929992864907
"pLI<0.5&AF<=0.00001&AutismKB",120,129,0.930232558139535,0.736827774427698,0.000529714162338397,1
"pLI<0.5&AF<=0.00001&constraint gene",182,149,1.22147651006711,0.0392201916056037,0.242359817074502,0.0459937163338341
"pLI<0.5&AF<=0.00001&RVIS",722,622,1.16077170418006,0.00345135354646889,0.171512466238506,0.00395429621810638
"pLI<0.5&AF<=0.00001&Haploinsuff",1232,1155,1.06666666666667,0.0598969426738437,0.0758161372012453,0.0944674026284853
"pLI<0.5&AF<=0.00001&SCZ gene",1124,1032,1.08914728682171,0.0249956134076598,0.0917036730386052,0.053511393225258
"MPC>=2&0.0001<AF&ID gene",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&High",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&Mod",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&PSD",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&FMRP",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&AutismKB",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&constraint gene",0,1,0,1,2.96077065891165e-05,1
"MPC>=2&0.0001<AF&RVIS",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&Haploinsuff",NA,NA,NA,NA,NA,NA
"MPC>=2&0.0001<AF&SCZ gene",NA,NA,NA,NA,NA,NA
"MPC>=2&0.00001<AF<=0.0001&ID gene",49,38,1.28947368421053,0.141803554202743,0.280667216079585,0.275373185364187
"MPC>=2&0.00001<AF<=0.0001&High",28,17,1.64705882352941,0.0675782254228353,0.467765081702669,0.223935074595008
"MPC>=2&0.00001<AF<=0.0001&Mod",75,67,1.11940298507463,0.278535493555164,0.0982275429221396,0.600351229501884
"MPC>=2&0.00001<AF<=0.0001&PSD",149,165,0.903030303030303,0.831307298324868,0.000893955975121607,1
"MPC>=2&0.00001<AF<=0.0001&FMRP",351,319,1.10031347962382,0.115517118351868,0.0883089748709003,0.281911891302198
"MPC>=2&0.00001<AF<=0.0001&AutismKB",39,35,1.11428571428571,0.363773541744736,0.158813134776415,0.504261730507243
"MPC>=2&0.00001<AF<=0.0001&constraint gene",527,499,1.0561122244489,0.199640140272875,0.0459854439527239,0.497527898368894
"MPC>=2&0.00001<AF<=0.0001&RVIS",337,279,1.2078853046595,0.0107829683679576,0.194047940649063,0.0233519032845552
"MPC>=2&0.00001<AF<=0.0001&Haploinsuff",349,328,1.0640243902439,0.221058417008342,0.0578509511046642,0.488094948544439
"MPC>=2&0.00001<AF<=0.0001&SCZ gene",450,421,1.06888361045131,0.17137780595414,0.0645953908022,0.365423941788987
"MPC>=2&AF<=0.00001&ID gene",116,125,0.928,0.740220376250782,0.00108092068014959,1
"MPC>=2&AF<=0.00001&High",105,118,0.889830508474576,0.825740237320218,0.000561446024980219,1
"MPC>=2&AF<=0.00001&Mod",232,228,1.01754385964912,0.444388938103037,0.0231880036188946,0.844974136550841
"MPC>=2&AF<=0.00001&PSD",517,509,1.01571709233792,0.413512081107397,0.0348710600660203,0.630022794050738
"MPC>=2&AF<=0.00001&FMRP",1044,1040,1.00384615384615,0.473802932286011,0.0237133857139536,0.65884640460518
"MPC>=2&AF<=0.00001&AutismKB",129,145,0.889655172413793,0.847795230963589,0.000546257022630341,1
"MPC>=2&AF<=0.00001&constraint gene",1660,1649,1.00667070952092,0.430996973535391,0.0181938893410315,0.707068795353701
"MPC>=2&AF<=0.00001&RVIS",876,952,0.920168067226891,0.964159457566308,0.000824492511108172,1
"MPC>=2&AF<=0.00001&Haploinsuff",1079,1135,0.950660792951542,0.887132195856819,0.00145124272188836,1
"MPC>=2&AF<=0.00001&SCZ gene",1449,1478,0.980378890392422,0.710381548472521,0.00379101469560465,1
"1<=MPC<2&0.0001<AF&ID gene",0,1,0,1,7.33128040045508e-06,1
"1<=MPC<2&0.0001<AF&High",NA,NA,NA,NA,NA,NA
"1<=MPC<2&0.0001<AF&Mod",NA,NA,NA,NA,NA,NA
"1<=MPC<2&0.0001<AF&PSD",1,3,0.333333333333333,0.9375,6.36080254800433e-05,1
"1<=MPC<2&0.0001<AF&FMRP",2,6,0.333333333333333,0.96484375,4.05011718425758e-05,1
"1<=MPC<2&0.0001<AF&AutismKB",1,0,Inf,0.5,0.999980745833204,0.387749641673911
"1<=MPC<2&0.0001<AF&constraint gene",3,6,0.5,0.91015625,8.1835249420758e-05,1
"1<=MPC<2&0.0001<AF&RVIS",2,5,0.4,0.9375,7.0086616726684e-05,1
"1<=MPC<2&0.0001<AF&Haploinsuff",1,7,0.142857142857143,0.99609375,2.89969181012213e-05,1
"1<=MPC<2&0.0001<AF&SCZ gene",3,8,0.375,0.96728515625,6.37546794012073e-05,1
"1<=MPC<2&0.00001<AF<=0.0001&ID gene",321,347,0.92507204610951,0.851912940719114,0.00131687160994256,1
"1<=MPC<2&0.00001<AF<=0.0001&High",165,156,1.05769230769231,0.327645815721041,0.0545886895427588,0.666516606944172
"1<=MPC<2&0.00001<AF<=0.0001&Mod",532,576,0.923611111111111,0.91180883419543,0.00077385091196818,1
"1<=MPC<2&0.00001<AF<=0.0001&PSD",1405,1427,0.98458304134548,0.667196925834846,0.00346055925438498,1
"1<=MPC<2&0.00001<AF<=0.0001&FMRP",2825,2775,1.01801801801802,0.256303264156352,0.0209900762708945,0.503680832474304
"1<=MPC<2&0.00001<AF<=0.0001&AutismKB",339,350,0.968571428571429,0.676207507572216,0.00172542726805606,1
"1<=MPC<2&0.00001<AF<=0.0001&constraint gene",3103,3054,1.01604453176162,0.270361373350684,0.0236765347266253,0.420100131865256
"1<=MPC<2&0.00001<AF<=0.0001&RVIS",3858,3798,1.01579778830964,0.250062615903632,0.0168432020173874,0.562663556253514
"1<=MPC<2&0.00001<AF<=0.0001&Haploinsuff",4353,4366,0.997022446174989,0.559590364339601,0.00965000554849992,1
"1<=MPC<2&0.00001<AF<=0.0001&SCZ gene",4268,4308,0.990714948932219,0.671019157384724,0.00439569999871991,1
"1<=MPC<2&AF<=0.00001&ID gene",574,610,0.940983606557377,0.858880320299802,0.00104841613992097,1
"1<=MPC<2&AF<=0.00001&High",437,416,1.05048076923077,0.246750430882653,0.0695406918062933,0.34889460743829
"1<=MPC<2&AF<=0.00001&Mod",1037,1030,1.00679611650485,0.447505382889048,0.028551952832047,0.577302244749867
"1<=MPC<2&AF<=0.00001&PSD",2429,2516,0.965421303656598,0.894609659406253,0.00182576927471012,1
"1<=MPC<2&AF<=0.00001&FMRP",4952,4863,1.01830146000411,0.187202305376945,0.0301566539588987,0.198323367686013
"1<=MPC<2&AF<=0.00001&AutismKB",643,627,1.02551834130781,0.336918655883455,0.0528793560462091,0.378516783936876
"1<=MPC<2&AF<=0.00001&constraint gene",6012,5988,1.00400801603206,0.416849867818908,0.0141034623524121,0.65051111898335
"1<=MPC<2&AF<=0.00001&RVIS",6542,6505,1.00568793235972,0.376316346423656,0.0146621675804958,0.601050099218679
"1<=MPC<2&AF<=0.00001&Haploinsuff",7703,7671,1.00417155520793,0.401287878139919,0.0130659412545227,0.671827803945782
"1<=MPC<2&AF<=0.00001&SCZ gene",7570,7608,0.995005257623554,0.624211019224371,0.00802296495757101,1
"0<=MPC<1&0.0001<AF&ID gene",NA,NA,NA,NA,NA,NA
"0<=MPC<1&0.0001<AF&High",NA,NA,NA,NA,NA,NA
"0<=MPC<1&0.0001<AF&Mod",3,2,1.5,0.5,0.333256869425398,0.787237319255282
"0<=MPC<1&0.0001<AF&PSD",6,5,1.2,0.5,0.2287909664444,0.746421335180408
"0<=MPC<1&0.0001<AF&FMRP",15,13,1.15384615384615,0.425277009606362,0.0489632568710803,0.922074740873295
"0<=MPC<1&0.0001<AF&AutismKB",3,2,1.5,0.5,0.56478602129329,0.520979333084022
"0<=MPC<1&0.0001<AF&constraint gene",7,7,1,0.604736328125,0.000214993709603362,1
"0<=MPC<1&0.0001<AF&RVIS",21,19,1.10526315789474,0.43731465619021,0.0317787596701352,0.938712759721934
"0<=MPC<1&0.0001<AF&Haploinsuff",27,33,0.818181818181818,0.816852996648354,0.000421367633802543,1
"0<=MPC<1&0.0001<AF&SCZ gene",26,27,0.962962962962963,0.60807684889525,0.000502119265497466,1
"0<=MPC<1&0.00001<AF<=0.0001&ID gene",2078,2081,0.998558385391639,0.524727974668362,0.012915830720847,0.77534579625589
"0<=MPC<1&0.00001<AF<=0.0001&High",833,831,1.00240673886883,0.49022159195012,0.00379417998645726,1
"0<=MPC<1&0.00001<AF<=0.0001&Mod",2837,2742,1.0346462436178,0.10410536841188,0.0239168378144784,0.453837144827613
"0<=MPC<1&0.00001<AF<=0.0001&PSD",4544,4779,0.950826532747437,0.992743206640864,0.000741992163401347,1
"0<=MPC<1&0.00001<AF<=0.0001&FMRP",9443,9587,0.984979659956191,0.85339631947401,0.0028819937064267,1
"0<=MPC<1&0.00001<AF<=0.0001&AutismKB",2040,2128,0.958646616541353,0.915988833672004,0.00108703935369036,1
"0<=MPC<1&0.00001<AF<=0.0001&constraint gene",5289,5282,1.00132525558501,0.476732301602284,0.0140694354578997,0.593314223822873
"0<=MPC<1&0.00001<AF<=0.0001&RVIS",15732,15768,0.997716894977169,0.582569331580311,0.009547405805335,0.886609816273119
"0<=MPC<1&0.00001<AF<=0.0001&Haploinsuff",31040,31247,0.993375364034947,0.797696338460214,0.00393413619525225,1
"0<=MPC<1&0.00001<AF<=0.0001&SCZ gene",20023,20381,0.982434620479859,0.962951294577339,0.00245835394525271,1
"0<=MPC<1&AF<=0.00001&ID gene",2934,2954,0.99322951929587,0.60783149159532,0.00544777255230015,1
"0<=MPC<1&AF<=0.00001&High",1363,1349,1.01037805782061,0.401439145905121,0.0174548777612398,0.739309792958679
"0<=MPC<1&AF<=0.00001&Mod",3965,4097,0.967781303392726,0.930733305918897,0.00165276671412874,1
"0<=MPC<1&AF<=0.00001&PSD",6848,6723,1.01859289007883,0.143567525126281,0.0215748499993587,0.32060327506286
"0<=MPC<1&AF<=0.00001&FMRP",13727,13986,0.981481481481481,0.940835850016397,0.0029048267021488,1
"0<=MPC<1&AF<=0.00001&AutismKB",3005,3000,1.00166666666667,0.479416713476332,0.0106600673625508,0.966429226702811
"0<=MPC<1&AF<=0.00001&constraint gene",7897,7884,1.00164890918316,0.461949382783042,0.0089892678103128,1
"0<=MPC<1&AF<=0.00001&RVIS",21977,22016,0.998228561046512,0.575622556227971,0.00637813747344494,1
"0<=MPC<1&AF<=0.00001&Haploinsuff",45775,45575,1.00438837081733,0.255136304953778,0.0111635356436261,0.633395399226684
"0<=MPC<1&AF<=0.00001&SCZ gene",28762,29011,0.991417048705663,0.850854670844089,0.00439341386540337,1
