,LoF_pvalue,LoF.Missense_pvalue,fisher_combine_pvalue,LoF_ACAT_pvalue,Missense_ACAT_pvalue
TAF13,0.5,0.91015625,0.834076686,0.5,0.857142857
TMEM167B,1,1,1,NA,0.647583618
C1orf194,0.376953125,0.376953125,0.744721575,0.666666667,0.888888889
KIAA1324,0.5,0.5,0.84657359,0.5,0.987804878
SARS,1,1,1,NA,0.952380952
CELSR2,1,1,1,1,0.996309963
PSRC1,0.772750854,0.772750854,0.971964937,0.833333333,0.96875
MYBPHL,0.75,0.75,0.965761554,0.75,0.977777778
SORT1,1,1,1,NA,0.96875
PSMA5,1,1,1,NA,0.5
SYPL2,1,1,1,1,0.9375
C1orf127,1,1,1,NA,0.986666667
ATXN7L2,0.5,0.5,0.84657359,0.5,0.97826087
CYB561D1,1,1,1,1,0.961538462
AMIGO1,1,0.65625,0.932671336,NA,0.923076923
GPR61,1,1,1,NA,0.961538462
GNAI3,0.875,0.875,0.991839969,0.5,0.9
GNAT2,0.5,0.5,0.84657359,0.5,0.96
AMPD2,0.1875,0.1875,0.501370581,0.397367093,0.972972973
GSTM4,0.9375,0.9375,0.998004864,0.9375,0.833333333
GSTM2,0.866577148,0.788024902,0.795670045,0.5,0.933333333
GSTM1,1,1,1,NA,1
GSTM5,0.612792969,0.612792969,0.912894926,0.75,0.212420438
GSTM3,0.5,0.5,0.84657359,0.5,0.947368421
EPS8L3,0.833847046,0.833847046,0.985361467,0.833333333,0.983606557
CSF1,1,1,1,NA,0.977777778
AHCYL1,1,0.75,0.965761554,NA,0.875
STRIP1,1,0.2265625,0.562947645,NA,0.979591837
ALX3,1,1,1,NA,0.96
UBL4B,1,1,1,NA,0.947368421
TARDBP,1,1,1,NA,0.305266442
SLC6A17,0.25,0.25,0.59657359,0.25,0.980769231
KCNC4,0.5,0.430025033,0.59657359,0.5,0.979166667
MASP2,0.387207031,0.387207031,0.754587422,0.630058506,0.98630137
RBM15,0.5,0.3125,0.59657359,0.5,0.976190476
SLC16A4,0.274414063,0.274414063,0.629263589,0.666666667,0.973684211
LAMTOR5,1,1,1,NA,0.96
PROK1,0.005859375,0.005859375,0.035974877,0.021459962,0.941176471
KCNA10,0.387207031,0.387207031,0.754587422,0.675849651,0.980769231
SRM,1,1,1,NA,0.875
KCNA2,1,0.63671875,0.92415094,NA,0.888888889
EXOSC10,0.75,0.75,0.965761554,0.5,0.985507246
KCNA3,1,1,1,NA,NA
CD53,1,1,1,NA,0.947368421
LRIF1,1,1,1,NA,0.976744186
MTOR,0.25,0.797563553,0.562623287,0.5,0.987951807
DRAM2,0.1875,0.1875,0.501370581,0.1875,0.928571429
CEPT1,1,0.5,0.84657359,NA,0.909090909
DENND2D,0.5,0.5,0.84657359,0.5,0.971428571
CHI3L2,0.63671875,0.63671875,0.92415094,0.667212508,0.973684211
CHIA,0.179641724,0.179641724,0.488048989,0.41140207,0.97826087
PIFO,1,1,1,1,0.923076923
OVGP1,0.927001953,0.927001953,0.997268336,0.8,0.982758621
WDR77,1,1,1,1,0.947368421
C1orf162,0.5,0.5,0.84657359,0.5,0.9
ADORA3,0.623046875,0.623046875,0.917831237,0.623046875,0.9
RAP1A,1,1,1,NA,0.266661531
DDX20,0.5,0.5,0.84657359,0.5,0.98245614
KCND3,1,0.5,0.84657359,NA,0.96
ANGPTL7,0.240341187,0.240341187,0.582994596,0.385647194,0.972972973
CTTNBP2NL,1,0.75,0.965761554,NA,0.976190476
WNT2B,1,1,1,NA,0.961538462
ST7L,0.709472656,0.709472656,0.952987313,0.8,0.975
CAPZA1,1,1,1,NA,0.933333333
MOV10,1,1,1,NA,0.981818182
RHOC,1,1,1,NA,0.916666667
PPM1J,0.63671875,0.63671875,0.92415094,0.8,0.976190476
FAM19A3,0.5,0.5,0.84657359,0.5,0.888888889
UBIAD1,1,1,1,NA,0.944444444
SLC16A1,1,1,1,NA,0.956521739
LRIG2,1,1,1,1,0.98630137
MAGI3,1,0.875,0.991839969,NA,0.986111111
PHTF1,0.933099747,0.933099747,0.997710535,0.875,0.976744186
RSBN1,0.36416624,0.303795681,0.492223841,0.352416382,0.975609756
PTPN22,0.709472656,0.709472656,0.952987313,0.8,0.979591837
BCL2L15,0.5,0.5,0.84657359,0.5,0.909090909
AP4B1,0.5,0.5,0.84657359,0.75,0.985294118
DCLRE1B,1,1,1,NA,0.966666667
HIPK1,1,0.75,0.965761554,NA,0.983606557
OLFML3,0.376953125,0.376953125,0.744721575,0.666666667,0.971428571
SYT6,1,1,1,NA,0.975
TRIM33,1,0.395263672,0.762148287,NA,0.965517241
BCAS2,0.5,0.5,0.84657359,0.5,0.857142857
DENND2C,0.96484375,0.96484375,0.999374647,0.666666667,0.987804878
AMPD1,0.982421875,0.982421875,0.999844591,0.75,0.988764045
NRAS,1,1,1,NA,0.666666667
CSDE1,1,1,1,NA,0.958333333
SIKE1,1,1,1,NA,0.928571429
SYCP1,1,1,1,NA,0.980769231
TSHB,1,1,1,NA,0.8
TSPAN2,0.65625,0.65625,0.932671336,0.704486749,0.944444444
NGF,1,1,1,NA,0.964285714
VANGL1,0.5,0.5,0.84657359,0.5,0.978723404
CASQ2,1,1,1,NA,0.972222222
NHLH2,1,1,1,NA,0.75
SLC22A15,0.6875,0.6875,0.945101746,0.666666667,0.97826087
MAB21L3,0.5,0.5,0.84657359,0.5,0.972972973
ATP1A1,1,0.08984375,0.306338728,NA,0.954545455
FBXO2,1,1,1,NA,0.962962963
CD58,1,1,1,NA,0.941176471
FBXO44,0.9375,0.9375,0.998004864,0.666666667,0.95
IGSF3,1,1,1,NA,0.970588235
FBXO6,1,1,1,NA,0.964285714
MAD2L2,1,1,1,1,0.875
CD2,1,1,1,NA,0.964285714
PTGFRN,0.890625,0.890625,0.993787711,0.890625,0.983606557
CD101,0.240341187,0.240341187,0.582994596,0.857142857,0.988888889
TTF2,0.211975098,0.211975098,0.5408092,0.8,0.990196078
DRAXIN,0.927001953,0.927001953,0.997268336,0.890625,0.958333333
TRIM45,1,1,1,1,0.978723404
VTCN1,0.5,0.5,0.84657359,0.5,0.944444444
AGTRAP,1,1,1,NA,0.923076923
MAN1A2,1,1,1,NA,0.933333333
C1orf167,1,1,1,NA,0.989361702
GDAP2,0.85546875,0.85546875,0.989012311,0.666666667,0.971428571
MTHFR,0.96484375,0.96484375,0.999374647,0.8,0.981818182
TTLL10,1,1,1,0.5,0.98989899
WDR3,0.03515625,0.03515625,0.152857718,0.5,0.981481481
SPAG17,0.65625,0.65625,0.932671336,0.8,0.993865031
CLCN6,0.125,0.125,0.384930193,0.5,0.984375
NPPA,0.9375,0.9375,0.998004864,0.9375,0.944444444
NPPB,0.75,0.75,0.965761554,0.75,0.944444444
TBX15,1,1,1,1,0.96969697
WARS2,0.25,0.25,0.59657359,0.25,0.958333333
PLOD1,0.5,0.5,0.84657359,0.647583618,0.987341772
HAO2,0.5,0.5,0.84657359,0.728452929,0.971428571
HSD3B2,0.125,0.125,0.384930193,0.125,0.9375
HSD3B1,1,1,1,NA,0.965517241
ZNF697,1,0.5,0.84657359,NA,0.975
PHGDH,0.75,0.75,0.965761554,0.5,0.981132075
HMGCS2,0.36328125,0.36328125,0.731131834,0.552217986,0.975
REG4,0.5,0.5,0.84657359,0.666666667,0.923076923
MFN2,1,1,1,NA,0.975609756
NOTCH2,1,1,1,NA,0.991525424
MIIP,0.975616617,0.975616617,0.999700279,0.993087049,0.980392157
TNFRSF18,0.125,0.125,0.384930193,0.125,0.966666667
TNFRSF8,1,1,1,NA,0.981818182
TNFRSF4,1,1,1,1,0.971428571
FAM72B,1,1,1,NA,NA
SDF4,0.125,0.125,0.384930193,0.352416382,0.976190476
TNFRSF1B,1,1,1,NA,0.966666667
VPS13D,1,0.75,0.84657359,1,0.996466431
B3GALT6,0.5,0.109375,0.235786795,0.5,0.9
UBE2J2,1,1,1,NA,0.9
DHRS3,1,0.88671875,0.993326664,NA,0.96
AADACL4,0.875,0.875,0.991839969,0.875,0.978723404
AADACL3,1,1,1,NA,0.967741935
C1orf158,0.150878906,0.150878906,0.436232818,0.292590927,0.954545455
PRAMEF12,1,1,1,NA,0.973684211
PRAMEF1,1,1,1,NA,0.9375
PRAMEF2,1,1,1,NA,0.833333333
SCNN1D,0.5,0.5,0.84657359,0.5,NA
PRAMEF7,1,1,1,NA,NA
ACAP3,1,1,1,NA,0.984126984
PRAMEF6,1,1,1,NA,1
PUSL1,0.819811174,0.819811174,0.982692275,0.8,0.974358974
TAS1R3,0.65625,0.65625,0.932671336,0.666666667,NA
DVL1,1,1,1,NA,0.989690722
PRAMEF19,1,0.868412018,0.990935403,NA,0.836899903
PRAMEF17,1,0.752808863,0.966564361,NA,0.9
PRAMEF20,1,1,1,NA,NA
LRRC38,0.422509491,0.422509491,0.786519741,0.422509491,NA
MXRA8,1,0.25390625,0.601958443,NA,0.971428571
PDPN,1,1,1,NA,0.958333333
PRDM2,0.5,0.5,0.84657359,0.5,0.993103448
AURKAIP1,0.5,0.5,0.84657359,0.5,0.916666667
CCNL2,1,1,1,NA,0.983333333
MRPL20,0.5,0.5,0.84657359,0.5,0.9375
TMEM88B,1,1,1,NA,NA
VWA1,0.875,0.85546875,0.953488585,0.5,0.974358974
NBPF15,1,1,1,NA,NA
ATAD3C,1,1,1,0.5,0.962962963
GPR89A,1,1,1,NA,NA
PDZK1,1,1,1,NA,NA
CD160,1,1,1,NA,NA
POLR3C,1,1,1,NA,NA
NUDT17,1,1,1,NA,NA
ANKRD35,1,1,1,NA,NA
ITGA10,1,1,1,NA,NA
PEX11B,1,1,1,NA,NA
LIX1L,1,1,1,NA,NA
POLR3GL,1,1,1,NA,NA
KAZN,1,0.580590129,0.896262921,NA,0.984615385
TXNIP,1,1,1,NA,NA
NBPF12,1,1,1,NA,NA
PRKAB2,1,1,1,NA,0.928571429
FMO5,0.96875,0.96875,0.999506551,0.666666667,0.978723404
CHD1L,0.670630961,0.670630961,0.938572359,0.923076923,0.986486486
BCL9,1,1,1,1,0.991304348
ACP6,0.623046875,0.623046875,0.917831237,0.623046875,0.974358974
ATAD3B,0.5,0.25390625,0.446296561,0.687167042,0.971428571
GJA5,1,1,1,NA,0.961538462
GJA8,1,1,1,NA,0.973684211
GPR89B,0.962240651,0.962240651,0.99927797,0.980806646,NA
NBPF14,1,1,1,NA,0.5
NBPF9,1,1,1,NA,NA
HIST2H2BE,1,1,1,NA,0.5
HIST2H2AB,0.25,0.25,0.59657359,0.5,0.5
BOLA1,1,1,1,NA,0.923076923
SV2A,1,0.75,0.965761554,NA,0.980392157
SF3B4,1,0.5,0.84657359,NA,0.833333333
MTMR11,0.066900253,0.066900253,0.247835502,0.491819418,0.983606557
OTUD7B,1,1,1,NA,0.983333333
VPS45,0.6875,0.6875,0.945101746,0.666666667,0.966666667
PLEKHO1,1,1,1,NA,0.971428571
ANP32E,1,1,1,NA,0.5
CA14,0.25390625,0.25390625,0.601958443,0.75,0.965517241
APH1A,1,0.9375,0.998004864,NA,0.9
C1orf54,1,1,1,NA,0.888888889
MRPS21,0.5,0.5,0.84657359,0.5,0.976290053
PRPF3,1,0.5,0.84657359,NA,0.923076923
RPRD2,1,0.240341187,0.582994596,NA,0.9875
TARS2,0.63671875,0.63671875,0.92415094,0.75,0.978723404
ECM1,0.5,0.5,0.84657359,0.5,0.981132075
ADAMTSL4,1,1,1,0.666666667,0.993548387
MCL1,1,1,1,NA,0.961538462
ENSA,1,1,1,NA,NA
GOLPH3L,0.5,0.5,0.84657359,0.5,0.952380952
HORMAD1,0.75,0.9375,0.965761554,0.75,0.944444444
CTSS,0.5,0.5,0.84657359,0.5,0.75
CTSK,0.63671875,0.63671875,0.92415094,0.63671875,0.947368421
ARNT,1,0.598190308,0.905568205,NA,0.976190476
SETDB1,1,0.96875,0.999506551,NA,0.979166667
CERS2,1,1,1,NA,0.95
ANXA9,0.5,0.5,0.84657359,0.5,0.972222222
BNIPL,0.6875,0.6875,0.945101746,0.75,0.96969697
C1orf56,0.75,0.890625,0.950780105,0.666666667,0.96
CDC42SE1,1,1,1,NA,0.666666667
MLLT11,1,1,1,NA,0.5
GABPB2,0.75,0.75,0.965761554,0.75,0.96875
SEMA6C,1,1,1,1,0.985714286
TNFAIP8L2,1,1,1,NA,0.944444444
LYSMD1,0.2265625,0.2265625,0.562947645,0.422529505,0.933333333
SCNM1,0.9375,0.9375,0.998004864,0.5,0.95
TMOD4,0.5,0.5,0.84657359,0.666666667,0.967741935
VPS72,1,1,1,1,0.95
PIP5K1A,1,1,1,NA,0.947368421
PSMD4,1,1,1,NA,0.75
ZNF687,1,1,1,NA,0.988372093
PI4KB,1,0.5,0.84657359,NA,0.972972973
RFX5,0.5,0.5,0.84657359,0.5,0.974358974
SELENBP1,0.96875,0.96875,0.999506551,0.666666667,0.975
PSMB4,1,1,1,NA,0.923076923
POGZ,1,0.5,0.84657359,NA,0.985294118
CGN,0.829554529,0.829554529,0.984570426,0.923076923,0.992647059
TUFT1,0.797483877,0.797483877,0.977949423,0.797483877,0.971428571
SNX27,1,1,1,NA,0.956521739
CELF3,1,0.150878906,0.436232818,NA,0.947368421
RIIAD1,0.5,0.5,0.84657359,0.5,NA
MRPL9,0.5,0.5,0.84657359,0.666666667,0.964285714
OAZ3,0.65625,0.65625,0.932671336,0.666666667,0.95
TDRKH,1,1,1,1,0.974358974
LINGO4,0.274414063,0.274414063,0.629263589,0.833333333,0.979591837
RORC,1,1,1,NA,0.965517241
THEM5,0.696380615,0.696380615,0.948372144,0.8,0.95
THEM4,0.75,0.75,0.965761554,0.5,0.9
S100A10,1,1,1,NA,0.857142857
S100A11,0.65625,0.65625,0.932671336,0.721284025,0.867511569
TCHHL1,1,1,1,NA,0.982758621
TCHH,1,1,1,1,0.993464052
TMEM51,0.75,0.75,0.965761554,0.75,0.958333333
RPTN,1,1,1,NA,0.976190476
HRNR,0.125,0.125,0.384930193,0.125,NA
ATAD3A,0.5,0.5,0.84657359,0.666666667,0.933333333
FLG2,0.5,0.5,0.84657359,0.5,0.989247312
CRNN,1,1,1,NA,0.971428571
LCE5A,1,1,1,NA,0.857142857
CRCT1,1,1,1,NA,0.666666667
LCE3E,1,1,1,NA,0.25
LCE3D,1,1,1,NA,0.65625
LCE3C,1,1,1,NA,0.666666667
LCE3B,1,1,1,NA,1
LCE2D,1,1,1,NA,0.352416382
LCE2C,1,1,1,NA,0.5
LCE2B,1,1,1,NA,0.576096112
LCE2A,1,1,1,NA,0.875
KPRP,1,1,1,NA,0.981132075
LCE1F,0.25,0.25,0.59657359,0.5,0.875
LCE1E,1,1,1,NA,0.5
LCE1D,1,1,1,1,0.666666667
LCE1B,1,1,1,NA,0.8
LCE1A,1,1,1,NA,0.8
SPRR4,1,1,1,NA,0.875
SPRR1A,1,1,1,NA,0.75
SPRR1B,1,1,1,NA,0.931699799
FHAD1,0.5,0.5,0.84657359,0.909090909,NA
SPRR2E,1,1,1,NA,NA
LELP1,1,1,1,1,0.9
PRR9,0.5,0.5,0.84657359,0.5,NA
PGLYRP3,0.5,0.5,0.84657359,0.5,0.964285714
PGLYRP4,0.9921875,0.9921875,0.999969403,0.75,0.96969697
S100A9,1,1,1,NA,0.857142857
S100A12,1,1,1,NA,0.8
S100A8,1,1,1,NA,0.833333333
S100A7A,1,1,1,NA,0.833333333
S100A7L2,1,1,1,NA,0.9
S100A7,1,1,1,NA,0.657125653
S100A6,1,1,1,NA,0.916666667
S100A5,1,1,1,NA,0.888888889
S100A4,1,1,1,NA,0.916666667
S100A3,1,1,1,NA,0.933333333
S100A2,0.577490509,0.577490509,0.894569337,0.751343222,0.833333333
S100A16,0.971313477,0.971313477,0.99958455,0.971313477,0.923076923
S100A14,1,1,1,1,0.9
S100A13,0.5,0.5,0.84657359,0.5,0.888888889
S100A1,1,1,1,1,0.923076923
CHTOP,1,1,1,NA,0.95
SNAPIN,1,1,1,NA,0.8
ILF2,1,1,1,NA,0.75
NPR1,1,0.0625,0.235786795,NA,0.98245614
INTS3,1,0.109375,0.351418915,NA,0.961538462
SLC27A3,0.969145696,0.969145696,0.999519034,0.857142857,0.98989899
GATAD2B,1,0.5,0.84657359,NA,0.944444444
DENND4B,1,0.5,0.84657359,NA,0.989130435
CRTC2,1,1,1,NA,0.98
SLC39A1,0.3125,0.3125,0.675984628,0.602416382,0.95
CREB3L4,1,1,1,NA,0.972972973
JTB,1,0.071653327,0.260525456,NA,0.857142857
RAB13,1,1,1,NA,0.888888889
NUP210L,0.5,0.5,0.84657359,0.666666667,0.990909091
EFHD2,1,0.75,0.965761554,NA,0.909090909
TPM3,1,0.109375,0.351418915,NA,0.75
C1orf189,0.5,0.5,0.84657359,0.647583618,0.923076923
C1orf43,1,1,1,1,0.95
SSU72,1,0.25,0.59657359,NA,0.25
UBAP2L,1,0.5,0.84657359,NA,0.977777778
HAX1,0.725585938,0.725585938,0.958336319,0.666666667,0.96
AQP10,1,1,1,NA,0.875
ATP8B2,0.875,0.875,0.991839969,0.5,0.987012987
CTRC,0.125,0.125,0.384930193,0.125,0.967741935
IL6R,0.75,0.75,0.965761554,0.75,0.979166667
SHE,1,1,1,NA,0.977272727
TDRD10,1,1,1,NA,0.966666667
UBE2Q1,1,1,1,NA,0.8
CELA2A,1,1,1,1,0.944444444
CHRNB2,1,0.946123928,0.998521895,NA,0.952380952
ADAR,1,0.75,0.965761554,NA,0.984126984
KCNN3,1,0.951873779,0.998822895,NA,0.964285714
CELA2B,0.261733532,0.261733532,0.612568577,0.409605752,0.958333333
PMVK,0.5,0.5,0.84657359,0.5,0.954545455
CASP9,0.75,0.75,0.965761554,0.5,0.970588235
PBXIP1,0.109375,0.109375,0.351418915,0.220218179,0.985294118
PYGO2,1,1,1,1,0.941176471
SHC1,1,1,1,NA,0.975
CKS1B,1,1,1,NA,0.875
FLAD1,1,1,1,1,0.981132075
LENEP,1,1,1,1,0.888888889
ZBTB7B,1,0.75,0.965761554,NA,0.972972973
DCST2,0.1875,0.1875,0.501370581,0.1875,0.989130435
DCST1,0.916465759,0.868412018,0.815827625,0.875,0.985915493
ADAM15,0.951873779,0.951873779,0.998822895,0.875,0.987951807
EFNA4,1,1,1,1,0.9
EFNA3,1,1,1,NA,0.916666667
EFNA1,1,1,1,NA,0.944444444
SLC50A1,1,1,1,NA,0.916666667
DPM3,1,1,1,NA,0.833333333
KRTCAP2,0.6875,0.6875,0.945101746,0.6875,0.9375
TRIM46,1,0.996307373,0.999993174,NA,0.972222222
MUC1,1,1,1,NA,0.978723404
THBS3,0.804235847,0.804235847,0.979448849,0.9375,0.987804878
MTX1,1,1,1,NA,0.9
GBA,1,1,1,NA,0.909090909
FAM189B,0.209377094,0.050321839,0.056403835,0.9,0.981818182
SCAMP3,0.5,0.5,0.84657359,0.5831273,0.952380952
CLK2,1,0.74609375,0.964627606,NA,0.967741935
HCN3,1,1,1,NA,0.985915493
PKLR,0.6875,0.6875,0.945101746,0.666666667,0.979166667
DNAJC16,0.612792969,0.612792969,0.912894926,0.685379275,0.983333333
FDPS,0.5,0.5,0.84657359,0.5,0.95
RUSC1,1,0.8125,0.981206984,NA,0.980392157
ASH1L,0.171875,0.084318772,0.165713121,0.171875,0.992647059
MSTO1,1,0.96875,0.999506551,NA,0.888888889
YY1AP1,1,1,1,NA,0.962962963
DAP3,0.9375,0.9375,0.998004864,0.666666667,0.971428571
AGMAT,0.214795254,0.214795254,0.545165393,0.356918601,0.962962963
GON4L,0.75,0.75,0.965761554,0.75,0.985507246
SYT11,1,1,1,NA,0.95
RIT1,0.14453125,0.14453125,0.424092198,0.14453125,0.833333333
RXFP4,1,1,1,NA,0.974358974
ARHGEF2,1,0.569974967,0.890393711,NA,0.976190476
SSR2,1,1,1,NA,0.9
UBQLN4,1,1,1,NA,0.833333333
LAMTOR2,1,1,1,NA,0.602416382
RAB25,0.792007401,0.792007401,0.976691285,0.811041508,0.956521739
MEX3A,1,0.5,0.84657359,NA,0.933333333
LMNA,1,0.34375,0.710820217,NA,0.976744186
SEMA4A,0.25,0.25,0.59657359,0.25,0.981818182
SLC25A44,1,0.5,0.84657359,NA,0.923076923
PMF1,0.6875,0.6875,0.945101746,0.666666667,0.9
PMF1-BGLAP,1,1,1,NA,0.5
BGLAP,0.604736328,0.604736328,0.908896167,0.696259047,0.9
PAQR6,0.849121094,0.849121094,0.987997797,0.83280308,0.958333333
SMG5,1,1,1,NA,0.987654321
DDI2,1,0.3125,0.675984628,NA,0.928571429
TMEM79,0.866577148,0.866577148,0.990674583,0.5,0.97826087
CCT3,1,1,1,NA,0.972222222
TSACC,1,1,1,NA,0.923076923
RHBG,0.75,0.75,0.965761554,0.5,0.98
C1orf61,1,1,1,NA,0.9
MEF2D,1,0.5,0.84657359,NA,0.962962963
IQGAP3,0.906129221,0.906129221,0.995449418,0.928571429,0.99375
TTC24,0.193847656,0.193847656,0.511890153,0.478526581,0.976744186
GPATCH4,1,1,1,NA,0.96875
RSC1A1,1,1,1,NA,0.981132075
HAPLN2,0.5,0.03125,0.139554247,0.5,0.933333333
BCAN,1,0.98046875,0.998004864,1,0.986486486
NES,1,0.866577148,0.990674583,NA,0.990384615
CRABP2,0.290527344,0.290527344,0.649635869,0.75,0.928571429
ISG20L2,1,1,1,NA,0.947368421
RRNAD1,1,1,1,1,0.976190476
MRPL24,0.5,0.5,0.84657359,0.5,0.954545455
HDGF,1,1,1,NA,0.916666667
PRCC,1,1,1,NA,0.956521739
SH2D2A,1,1,1,NA,0.967741935
INSRR,0.668188095,0.668188095,0.93759189,0.888888889,0.993377483
NTRK1,1,1,1,NA,0.987341772
PEAR1,0.5,0.5,0.84657359,0.647583618,0.989690722
LRRC71,0.5,0.5,0.84657359,0.75,0.976744186
ARHGEF11,1,1,1,1,0.991869919
ETV3L,0.118942261,0.118942261,0.372184263,0.118942261,0.972222222
ETV3,1,1,1,NA,0.947368421
PLEKHM2,1,1,1,1,0.989795918
SLC25A34,0.382995912,0.382995912,0.750568948,0.700491904,0.96969697
TMEM82,0.75,0.75,0.965761554,0.75,0.978723404
FCRL5,0.75,0.75,0.965761554,0.75,0.985294118
FCRL4,0.5,0.5,0.84657359,0.647583618,0.981132075
FBLIM1,0.5,0.5,0.84657359,0.5,0.958333333
FCRL3,0.984375,0.984375,0.999877289,0.666666667,0.986486486
FCRL2,0.6875,0.6875,0.945101746,0.75,0.97826087
FCRL1,0.42527701,0.42527701,0.788895034,0.666666667,0.972972973
CD5L,0.875,0.875,0.991839969,0.875,0.958333333
CD1D,0.6875,0.6875,0.945101746,0.5,0.964285714
CD1A,1,1,1,NA,0.975
CD1C,1,1,1,NA,0.96
CD1B,1,1,1,NA,0.96875
CD1E,0.9375,0.9375,0.998004864,0.5,0.96875
OR10T2,1,1,1,NA,0.967741935
OR10K2,1,1,1,NA,0.95
OR10K1,1,1,1,NA,0.95
OR10R2,1,1,1,NA,0.964285714
OR6Y1,0.91015625,0.91015625,0.995837441,0.883309786,0.978723404
OR10Z1,1,1,1,NA,0.973684211
SPTA1,0.5,0.5,0.84657359,0.5,0.996282528
OR6K2,1,1,1,NA,0.978723404
OR6K3,1,1,1,NA,0.96875
SPEN,1,0.220399534,0.553712684,NA,0.995689655
OR6K6,1,1,1,NA,0.956521739
OR6N1,1,1,1,NA,0.964285714
OR6N2,1,1,1,NA,0.967741935
MNDA,0.6875,0.6875,0.945101746,0.6875,0.974358974
PYHIN1,1,1,1,NA,0.973684211
IFI16,0.75,0.75,0.965761554,0.75,0.98245614
AIM2,0.3125,0.3125,0.675984628,0.5,0.956521739
CADM3,1,1,1,NA,0.941176471
FCER1A,1,1,1,1,0.947368421
OR10J3,1,1,1,NA,0.96875
ZBTB17,1,0.114761472,0.36320852,NA,0.975
OR10J1,1,1,1,NA,0.975609756
OR10J5,1,1,1,NA,0.954545455
APCS,1,1,1,NA,0.933333333
CRP,0.75,0.75,0.965761554,0.75,0.95
DUSP23,0.875,0.875,0.991839969,0.875,0.9
FCRL6,0.875,0.875,0.991839969,0.5,0.970588235
SLAMF8,0.860021881,0.860021881,0.989710985,0.8,0.967741935
VSIG8,1,1,1,NA,0.966666667
TAGLN2,1,1,1,NA,0.857142857
IGSF9,1,1,1,NA,0.988235294
SLAMF9,0.3125,0.3125,0.675984628,0.3125,0.958333333
PIGM,0.193847656,0.193847656,0.511890153,0.304848829,0.96969697
KCNJ10,1,1,1,1,0.965517241
KCNJ9,1,1,1,NA,NA
IGSF8,0.131587982,0.131587982,0.398458882,0.833333333,0.987179487
ATP1A2,1,0.623046875,0.917831237,NA,0.977777778
ATP1A4,0.028806336,0.028806336,0.130987018,0.9,0.987951807
HSPB7,0.75,0.75,0.965761554,0.75,0.9375
CASQ1,0.696204319,0.696204319,0.948308327,0.8,0.96875
PEA15,1,1,1,NA,0.398336169
DCAF8,1,1,1,NA,0.956521739
CLCNKA,0.382995912,0.382995912,0.750568948,0.833333333,0.965517241
PEX19,1,1,1,NA,0.941176471
COPA,1,0.5,0.84657359,NA,0.983050847
NCSTN,1,0.65625,0.932671336,NA,0.975
NHLH1,1,1,1,NA,0.75
VANGL2,1,1,1,NA,0.976744186
CLCNKB,0.202436447,0.212178111,0.438023587,0.478557535,0.972972973
SLAMF6,1,1,1,NA,0.923076923
